
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _elev,stick |   ailrn,stick |   ruddr,stick |   sweep,1,deg |   sweep,2,deg |   sweep,h,deg |   _vect,ratio |   sweep,ratio |   incid,ratio |   dihed,ratio |   retra,ratio |   _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   _trim,_elev |   _trim,ailrn |   _trim,ruddr |   _flap,handl |   _flap,postn |   _slat,ratio |   sbrak,handl |   sbrak,postn |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   thro1,_part |   power,_1,hp |   thrst,_1,lb |   rpm_1,engin |   rpm_1,_prop |   empty,___lb |   payld,___lb |   _fuel,totlb |   jetti,___lb |   curnt,___lb |   maxim,___lb |   ___cg,ftref |   wing1,_lift |   wing1,_lift |   wing2,_lift |   wing2,_lift |   wing3,_lift |   wing3,_lift |   wing1,_drag |   wing1,_drag |   wing2,_drag |   wing2,_drag |   wing3,_drag |   wing3,_drag | 
     38.25528 |       0.05025 |       0.05025 |       0.00000 |       9.47001 |      10.47001 |       7.63378 |     -21.00000 |       2.87804 |       2.87992 |       0.86742 |     -24.16637 |       3.31415 |       0.99962 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.01140 |       0.00680 |       0.00497 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       3.04304 |      -0.25868 |     196.02831 |     194.83353 |     -14.20493 |       4.47079 |     211.35828 |      87.79070 |       0.00143 |      41.90199 |       2.76546 |     428.57706 |       0.06932 |       1.00000 |      22.92314 |      41.50000 |       3.00000 |       0.00000 |       3.82590 |      36.16240 |     506.76096 |     506.76096 |    1721.00000 |     125.55000 |     165.34665 |       0.00000 |    2011.89673 |    2558.00024 |       0.00000 |      -0.63314 |      -0.50343 |      -0.91360 |      -0.66786 |      -0.06321 |      -0.12430 |       0.02765 |       0.02150 |       0.03709 |       0.02213 |       0.00160 |       0.00392 | 
     44.35495 |       5.06004 |       5.06004 |       0.00000 |       9.47141 |      10.47141 |       7.63517 |     -17.36491 |       2.79651 |       2.79835 |       0.00033 |     -19.98319 |       3.22028 |       0.00039 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00098 |       0.00800 |       0.00500 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.59377 |      -0.12801 |     196.01701 |     194.82224 |       1.17767 |      -5.83035 |     188.78561 |       0.09398 |       0.11896 |      41.90199 |       2.76546 |     428.77322 |       0.26767 |       1.00000 |     448.38724 |      41.50000 |       3.00000 |       0.00000 |       3.29792 |      47.13381 |     636.81207 |     636.81207 |    1721.00000 |     125.55000 |     165.31174 |       0.00000 |    2011.86182 |    2558.00024 |       0.00000 |       6.19888 |      -0.44859 |       0.49812 |       0.52722 |       0.37234 |      -0.26708 |       0.33690 |       0.04031 |       0.01064 |       0.01136 |       0.00851 |       0.00653 | 
     49.36036 |      10.06546 |      10.06546 |       0.00000 |       9.47280 |      10.47280 |       7.63656 |     -17.36404 |       2.79691 |       2.79875 |       0.00077 |     -19.98218 |       3.22074 |       0.00088 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00093 |       0.00800 |       0.00500 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.59744 |      -0.12845 |     196.01939 |     194.82462 |       1.18302 |      -8.06836 |     189.07565 |       0.14375 |       0.12754 |      41.90199 |       2.76546 |     428.77319 |       0.26762 |       1.00000 |     448.55850 |      41.50000 |       3.00000 |       0.00000 |       3.29348 |      47.32257 |     637.88611 |     637.88611 |    1721.00000 |     125.55000 |     165.27692 |       0.00000 |    2011.82703 |    2558.00024 |       0.00000 |       6.35927 |      -0.45892 |       0.48606 |       0.53028 |       0.35295 |      -0.23135 |       0.34527 |       0.03940 |       0.01039 |       0.01150 |       0.00833 |       0.00612 | 
     54.35835 |      15.06345 |      15.06345 |       0.00000 |       9.47418 |      10.47418 |       7.63795 |     -17.36403 |       2.79648 |       2.79832 |       0.00031 |     -19.98217 |       3.22025 |       0.00036 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00096 |       0.00800 |       0.00500 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.59426 |      -0.12911 |     196.02072 |     194.82594 |       1.18022 |      -8.37107 |     190.51584 |       0.12357 |       0.12875 |      41.90199 |       2.76546 |     428.77322 |       0.26767 |       1.00000 |     448.55902 |      41.50000 |       3.00000 |       0.00000 |       3.29161 |      47.42752 |     636.84650 |     636.84650 |    1721.00000 |     125.55000 |     165.24907 |       0.00000 |    2011.79919 |    2558.00024 |       0.00000 |       6.32037 |      -0.42942 |       0.48335 |       0.53035 |       0.34389 |      -0.22184 |       0.34076 |       0.03838 |       0.01032 |       0.01151 |       0.00814 |       0.00597 | 
     59.34700 |      20.11591 |      20.11591 |       0.00000 |       9.47559 |      10.47559 |       7.63935 |     -17.36403 |       2.79698 |       2.79882 |       0.00085 |     -19.98217 |       3.22082 |       0.00097 |       0.00159 |      -0.00008 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00070 |       0.00793 |       0.00500 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.59706 |      -0.12888 |     196.02028 |     194.82550 |       1.18222 |      -8.40943 |     189.63156 |       0.21716 |       0.12860 |      41.90199 |       2.76546 |     428.77319 |       0.26761 |       1.00000 |     448.55905 |      41.50000 |       3.00000 |       0.00000 |       3.29413 |      47.47790 |     638.27472 |     638.27472 |    1721.00000 |     125.55000 |     165.21425 |       0.00000 |    2011.76428 |    2558.00024 |       0.00000 |       6.36558 |      -0.44888 |       0.48382 |       0.53059 |       0.34831 |      -0.22472 |       0.34454 |       0.03894 |       0.01034 |       0.01152 |       0.00825 |       0.00604 | 
     64.35790 |      25.15811 |      25.15811 |       0.00000 |       9.47699 |      10.47699 |       7.64075 |     -17.36366 |       2.79898 |       2.80082 |       0.00182 |     -19.98174 |       3.22313 |       0.00209 |       0.00159 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00126 |       0.00800 |       0.00500 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.01462 |       0.16404 |       0.00000 |       0.00000 |       0.00000 |      -0.31226 |      -0.05908 |     195.83246 |     194.63768 |       0.27018 |      -8.61597 |      14.12258 |      -0.72073 |       0.07916 |      41.90199 |       2.76546 |     428.78546 |       0.28167 |       1.00000 |     448.57129 |      41.50000 |       3.00000 |       0.50222 |      46.01287 |     332.80865 |    1633.26929 |    1633.26929 |    1721.00000 |     125.55000 |     165.16934 |       0.00000 |    2011.71948 |    2558.00024 |       0.00000 |      39.69290 |      -7.72389 |       0.38407 |       0.43234 |       3.04476 |      -2.77637 |       2.77610 |       0.37228 |       0.00804 |       0.00903 |       0.07264 |       0.06319 | 
     69.36629 |      30.19146 |      30.19146 |       0.00000 |       9.47839 |      10.47839 |       7.64215 |     -17.36403 |       2.79920 |       2.80104 |       0.00152 |     -19.98217 |       3.22338 |       0.00175 |       0.00163 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00124 |       0.00801 |       0.00499 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.03479 |       0.03479 |       0.00000 |       0.00000 |       0.00000 |      -0.32739 |      -0.05634 |     195.82951 |     194.63474 |       0.24993 |      -8.61339 |      23.81603 |      -0.05786 |       0.05749 |      41.90199 |       2.76546 |     428.78537 |       0.28157 |       1.00000 |     448.57083 |      41.50000 |       3.00000 |       0.50222 |      46.47680 |     337.27151 |    1645.68469 |    1645.68469 |    1721.00000 |     125.55000 |     165.12126 |       0.00000 |    2011.67126 |    2558.00024 |       0.00000 |      38.31601 |      -9.77626 |       0.38321 |       0.42890 |       3.10145 |      -2.83044 |       2.45999 |       0.36846 |       0.00802 |       0.00896 |       0.07393 |       0.06436 | 
     74.36986 |      35.19503 |      35.19503 |       0.00000 |       9.47978 |      10.47978 |       7.64354 |     -17.36403 |       2.80064 |       2.80248 |       0.00183 |     -19.98217 |       3.22504 |       0.00210 |       0.00163 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00157 |       0.00797 |       0.00513 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.28280 |       0.00000 |       0.00000 |       0.00000 |      -0.34841 |      -0.04600 |     195.79123 |     194.59645 |       0.26314 |       4.84356 |     292.33588 |       1.11397 |       0.05561 |      41.90199 |       2.76546 |     428.78625 |       0.28246 |       1.00000 |     448.57114 |      41.50000 |       3.00000 |       0.50222 |      46.30976 |     332.60284 |    1646.37878 |    1646.37878 |    1721.00000 |     125.55000 |     165.07317 |       0.00000 |    2011.62317 |    2558.00024 |       0.00000 |      39.98281 |      -5.20229 |       0.43249 |       0.39746 |       3.34944 |      -3.47328 |       2.71072 |       0.43317 |       0.00903 |       0.00825 |       0.08188 |       0.08133 | 
     79.36893 |      40.19410 |      40.19410 |       0.00000 |       9.48116 |      10.48116 |       7.64493 |     -17.70986 |       2.80590 |       2.80774 |       0.00517 |     -20.38014 |       3.23109 |       0.00595 |       0.00163 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00213 |       0.00802 |       0.00497 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.41190 |      -0.04144 |     195.74419 |     194.54941 |       0.24934 |      27.50786 |     185.80452 |       0.78541 |       0.03989 |      41.90199 |       2.76546 |     428.78616 |       0.28244 |       1.00000 |     448.57166 |      41.50000 |       3.00000 |       0.50222 |      46.52472 |     337.39804 |    1648.41113 |    1648.41113 |    1721.00000 |     125.55000 |     165.02509 |       0.00000 |    2011.57507 |    2558.00024 |       0.00000 |      27.32082 |     -10.21663 |       0.41253 |       0.23474 |       3.40296 |      -4.42464 |       1.88271 |       0.37125 |       0.00940 |       0.00533 |       0.09442 |       0.11700 | 
     84.36905 |      45.19423 |      45.19423 |       0.00000 |       9.48255 |      10.48255 |       7.64632 |     -17.41187 |       2.79997 |       2.80181 |       0.00176 |     -20.03722 |       3.22427 |       0.00202 |       0.00163 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00135 |       0.00796 |       0.00508 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.30806 |       0.00000 |       0.00000 |       0.00000 |      -0.35402 |      -0.04789 |     195.76628 |     194.57150 |       0.24833 |       7.07997 |     313.57959 |      -0.27684 |       0.04917 |      41.90199 |       2.76546 |     428.78607 |       0.28238 |       1.00000 |     448.57196 |      41.50000 |       3.00000 |       0.50222 |      46.20598 |     336.01447 |    1642.44153 |    1642.44153 |    1721.00000 |     125.55000 |     164.97699 |       0.00000 |    2011.52710 |    2558.00024 |       0.00000 |      35.02627 |      -4.20924 |       0.43474 |       0.38421 |       3.31307 |      -3.50912 |       2.65172 |       0.44180 |       0.00910 |       0.00800 |       0.08082 |       0.08227 | 
